Group,Sequence Name,Vertical,GHL Trigger Tag,All Tags Applied,Setup Required in GHL,Unpaused in Replit? (Y/N),Optional Native GHL Workflow ID,Notes
0 - One-Time GHL Account Setup,A2P 10DLC registration approved,-,-,-,Required before ANY SMS can send,N,,Takes 3-7 business days — start this first
0 - One-Time GHL Account Setup,Phone number purchased & assigned,-,-,-,Required for SMS/voicemail,N,,Settings -> Phone Numbers
0 - One-Time GHL Account Setup,Email sending domain verified,-,-,-,Required for deliverable email,N,,Settings -> Email Services -> Domain
0 - One-Time GHL Account Setup,Custom value booking_link configured,-,-,-,Required — templates reference {{custom_values.booking_link}},N,,Settings -> Custom Values
0 - One-Time GHL Account Setup,Private Integration Token scopes confirmed,-,-,-,"Contacts, Conversations/Messages, Workflows read+write",N,,GHL_PRIVATE_INTEGRATION_TOKEN already set in Replit
1 - Core Sales & Compliance Sequences,1. Switch & Save — Statement Audit,all,LB-SEQ-STATEMENT-AUDIT,LB-SDR | LB-SEQ-STATEMENT-AUDIT,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,2. Payment Stack 101 — Education,all,LB-SEQ-EDUCATION,LB-SDR | LB-SEQ-EDUCATION,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,3. Fast Approval — Application Completion,all,LB-SEQ-APPLICATION,LB-SDR | LB-SEQ-APPLICATION,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,4. Trust Builder — Authority Sequence,all,LB-SEQ-TRUST-BUILDER,LB-SDR | LB-SEQ-TRUST-BUILDER,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,5. Chargeback Defense,all,LB-SEQ-CHARGEBACK,LB-SDR | LB-SEQ-CHARGEBACK,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,6. Funding Speed & Reliability,all,LB-SEQ-FUNDING,LB-SDR | LB-SEQ-FUNDING,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,8. Liberty Smart Terminal — Product Showcase,all,LB-SEQ-TERMINAL,LB-SDR | LB-SEQ-TERMINAL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,9. Surcharge & Cash Discount — Compliance,all,LB-SEQ-SURCHARGE,LB-SDR | LB-SEQ-SURCHARGE,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,13. Recurring Billing — Subscription Merchants,subscription,LB-SEQ-RECURRING,LB-SDR | LB-SEQ-RECURRING,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,15. Omnichannel — Online + In-Person,omnichannel,LB-SEQ-OMNICHANNEL,LB-SDR | LB-SEQ-OMNICHANNEL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,16. Security & PCI Compliance — Made Easy,all,LB-SEQ-PCI,LB-SDR | LB-SEQ-PCI,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,17. Contract Escape — Switch Help,all,LB-SEQ-CONTRACT-ESCAPE,LB-SDR | LB-SEQ-CONTRACT-ESCAPE,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,18. Objection Crusher — Overcome Hesitation,all,LB-SEQ-OBJECTION-CRUSHER,LB-SDR | LB-SEQ-OBJECTION-CRUSHER,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,19. Reactivation — Cold Lead Revival,all,LB-SEQ-REACTIVATION,LB-SDR | LB-SEQ-REACTIVATION,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,20. Free Analysis Follow-Up,all,LB-SEQ-ANALYSIS-FOLLOWUP,LB-SDR | LB-SEQ-ANALYSIS-FOLLOWUP,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,Post-Call Review Follow-Up,all,LB-SEQ-POST-CALL,LB-SDR | LB-SEQ-POST-CALL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,Proposal Follow-Up,all,LB-SEQ-PROPOSAL,LB-SDR | LB-SEQ-PROPOSAL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,No-Show Reschedule,all,LB-SEQ-NOSHOW,LB-SDR | LB-SEQ-NOSHOW,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
1 - Core Sales & Compliance Sequences,Long-Term Nurture,all,LB-SEQ-NURTURE,LB-SDR | LB-SEQ-NURTURE,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
